Example,DA,Sub_Category
thats really nice,f,pn
thank you my friend,f,pn
thats amazing,f,pn
these donot relate to my situation,f,pn
you are clever,f,pn
great work thank you,f,pn
youre clever,f,pn
thank you,f,pn
these are completely irrelevant,f,pn
you are boring,f,pn
you are very intelligent,f,pn
you are wrong,f,pn
looks great i will look into these,f,pn
this doesnt answer my question,f,pn
thanks for your help mira,f,pn
this doesnt help me,f,pn
thats very helpful thnks,f,pn
you dont understand what i say,f,pn
i really like what you recommended,f,pn
thx for the help anyway ,f,pn
that was cute,f,pn
youre the worst ever,f,pn
you did not answer my question,f,pn
you are so stupid,f,pn
zing zing amazing,f,pn
i love what you picked,f,pn
thats terrific,f,pn
u r awesome,f,pn
these are not related to alcohol addiction,f,pn
thanks again,f,pn
this doesnt solve my problem,f,pn
you are showing me wrong resources,f,pn
youre terrible,f,pn
this is inaccurate,f,pn
i am satisfied with your answer,f,pn
you are useless,f,pn
youre very bad,f,pn
you are pathetic,f,pn
yes you are right many thanks,f,pn
that was a nice thing to suggest,f,pn
you dont understand what im saying,f,pn
you are so good at this mira,f,pn
thats pretty good,f,pn
you donot understand anything,f,pn
you annoy me,f,pn
thank you for your friendly dependable service,f,pn
you are recommending me wrong things,f,pn
its not what i want,f,pn
just what i was looking for,f,pn
that is wonderful,f,pn
you are not cool,f,pn
alexa you were good,f,pn
it completely worked for me,f,pn
you are a good friend to me,f,pn
its not what I asked for,f,pn
this was really helpful,f,pn
wrong answer,f,pn
thank you for your solution and help,f,pn
i am unhappy with your service,f,pn
thank you thats all,f,pn
thanks this works,f,pn
this is not what i was looking for,f,pn
i hate you mira,f,pn
thats very nice of you,f,pn
thank you very much to try to help me,f,pn
youre incredibly boring,f,pn
i appreciate you,f,pn
you are showing me something else entirely,f,pn
this is completely different from what i asked for,f,pn
you are okay,f,pn
you are awesome,f,pn
very nice,f,pn
this is just what i needed,f,pn
you are dismissed,f,pn
it really helped me out,f,pn
you are ok,f,pn
this is not what i asked for,f,pn
i am not satisfied with your recommendations,f,pn
you are not intelligent,f,pn
your answer is very helpful,f,pn
thanx,f,pn
i hate you alexa,f,pn
youre really boring,f,pn
these resources are not relevant,f,pn
your so dumb,f,pn
you are such a waste of time,f,pn
exactly what i needed,f,pn
you are not ready to help,f,pn
mira you did good,f,pn
that was exactly what i needed,f,pn
i am mad at you,f,pn
your advice does not apply to me,f,pn
you helped me a lot really,f,pn
appreciate your help,f,pn
youre stupid,f,pn
you suck at everything,f,pn
ok thanks i appreciate the help,f,pn
thats awesome thank you,f,pn
nice,f,pn
you are terrible,f,pn
you are annoying me so much,f,pn
you are really good at this,f,pn
youre a stupid bot,f,pn
very then,f,pn
thank you so much,f,pn
much better,f,pn
thats wrong,f,pn
this doesnt fix my problem,f,pn
youre qualified,f,pn
this is wrong,f,pn
thats really good,f,pn
cool work,f,pn
you are really smart,f,pn
youre bad,f,pn
nice work,f,pn
i like your suggestions thanks,f,pn
thank you very much,f,pn
youre a genius,f,pn
this is useful,f,pn
perfectly done,f,pn
you went crazy,f,pn
you are so clever,f,pn
thats not what i asked,f,pn
that was a nice recommendation,f,pn
wow this was a waste of time,f,pn
thank you for your kind words,f,pn
you are dumb,f,pn
your answer is helpful,f,pn
you are so brainy,f,pn
you suck alexa,f,pn
youre nuts,f,pn
you are very good,f,pn
youre out of your mind,f,pn
i am satisfied with the resources,f,pn
excellent work,f,pn
you are not good at this,f,pn
thats very good,f,pn
youre amazing,f,pn
you are the worst,f,pn
youre so out of your mind,f,pn
i am angry at you mira,f,pn
this answer is excellent stephen many thanks,f,pn
thats wonderful,f,pn
exactly what i was asking for,f,pn
that is awesome,f,pn
this is not good,f,pn
you are very bad at this,f,pn
good very good,f,pn
mira you suck,f,pn
kudos,f,pn
mind blowing,f,pn
good recommendations,f,pn
thats better,f,pn
looks great thank you,f,pn
your performance is satisfactory,f,pn
this was great,f,pn
you are very boring,f,pn
thats fine,f,pn
thanks very much for putting so much effort into this answer.,f,pn
thats very nice,f,pn
good job siri,f,pn
definitely not what i want,f,pn
you did really well,f,pn
amazing work there,f,pn
your solution does not apply to me,f,pn
you are bad,f,pn
this is incorrect,f,pn
you are lame,f,pn
your solution does not work for me,f,pn
this does not make sense at all,f,pn
way to go,f,pn
these dont work for me,f,pn
youre not very good,f,pn
you are amazing,f,pn
talking to u makes me happy,f,pn
defintely does not apply to me,f,pn
this does not apply to me,f,pn
marvelous,f,pn
youre very smart,f,pn
thanks so much,f,pn
you are mad,f,pn
i appreciate this,f,pn
youre really smart,f,pn
this does not help me in anyway,f,pn
you helped me a lot,f,pn
youre the worst,f,pn
this isnt what i was looking for,f,pn
im soon to be married and ive been messing around with others,s,s
he also compares me to my other siblings in a negative way and demeans me,s,s
this band has never sounded better and has never been more compositionally more ambitious,s,s
i often feel that my husband has friends at work that he is more emotional invested in than me,s,s
im afraid that im gay,s,s
my brothers exgirlfriend doesnt want her son to see us anymore,s,s
since then he has still been in contact with me every day,s,s
he told me to let him leave or he would hit me,s,s
my motivation has gone away,s,s
the magnets seem strong enough to hold them in place really well,s,s
i think about death all the time because i feel so alone,s,s
it has been starting to affect my driving among other things,s,s
i cant discuss this with anybody in my life because the conditions surrounding our love are considered  wrong by a lot of people,s,s
im having a bad day,s,s
i was thinking to get him something special with my countrys name on it and i remembered that he likes wine,s,s
i hide it from everyone because im scared of the reactions ill get,s,s
ive always thought that there wasnt much good out there for me,s,s
its been like a couple of years that ive been feeling like this,s,s
attendance rose again in 2015 to 287874 visitors,s,s
butone can see how norris was trying to find his way to the successful walker texas ranger series,s,s
but still i feel this connection with my exboyfriend and i feel like he does too,s,s
no matter how often i try to tell him this he never listens,s,s
we both fell in love and have been together for eight months,s,s
i got things to do,s,s
all in all the matador is an entertaining buddy film that has a lot of humor,s,s
its almost as if im a sociopath lacking any feeling,s,s
for the most part allied opposition was disorganised,s,s
i have ever bought,s,s
the only time i am at peace is when im asleep,s,s
hey mira about 3 years ago or so i was skinny but i was still ugly,s,s
the next day she kicked me out,s,s
music changes my mood,s,s
she moved away for school and we attempted a long distance relationship,s,s
he says he doesnt love me anymore but i would do anything to get him back,s,s
i feel tired,s,s
theres nothing new here,s,s
i noticed lately that ive been thinking a lot about death,s,s
she works i take care of our young son,s,s
i know its not normal to hear voices that arent your own,s,s
my mood will be really high and ill think of something that i want to do,s,s
i have three children,s,s
even now i hear it saying every word inm thinking,s,s
he texted her back with sorry ive been working,s,s
they all try to get eachother to kill off the other and its a timebomb waiting to explode,s,s
im in my early 20s,s,s
however my therapist for six years has made me believe that he cares about me and that we are friends,s,s
i just had a newborn,s,s
i get annoyed with everything and everyone,s,s
he always apologizes and at the beginning he was more willing to change,s,s
then i cry pull at my hair plug my ears hit myself and throw things,s,s
then she told me to come to her in missouri,s,s
i keep drinking even though its harming myself and others,s,s
having worked with lloyd on the adventures of buckaroo banzai 1984 producer neil canton suggested him for the part,s,s
i want to get along as much as possible and he agreed,s,s
im studying abroad and im depressed,s,s
i seriously do not think that the people who hated heavens gate really understood it,s,s
we left off on a good note,s,s
ive been on 05 mg of xanax twice a day for the past month,s,s
somehow he turned it around and then wanted to change the schedule we agreed on,s,s
coltrane was one of the two actors rowling wanted most along with smith as mcgonagall,s,s
he used to be so madly in love with me but now it seems like he couldnt care less,s,s
i was very upset and i shared with him about that particular drug,s,s
half way through the movie i started crying and it didnt stop until the credits rolled,s,s
it does not work,s,s
i just donnt want to sit on the couch,s,s
since he works nights i only see him parts of fridaysunday and we live together,s,s
i feel as if i have no one whom i can trust,s,s
after improving my life and developing a habit of running and exercise to release stress my symptoms improved,s,s
my exfianc whom i am still seeing left me because of the pressure from all three of his teenage daughters,s,s
we have been together 7 years,s,s
we live two hours from family and when i leave home to see family hell text me saying whatever and leave me alone,s,s
as she finds each card she battles its magical personification and defeats it by sealing it away,s,s
i have a friend that who i used to be in a relationship with,s,s
ive been dealing with this for years,s,s
no one is not giving me a chance and im getting upset and frustrated,s,s
we kissed and he grabbed my boobs and we exchanged some texts and a few calls,s,s
it makes me sad because i love him but i always think about how helpless he is,s,s
i have four children,s,s
she doesnt even have custody of herself,s,s
i want someone to love and someone to love me,s,s
previous jobs have fired me for lack of performance and five employers have rejected me after extensive personality tests and interviews,s,s
he is an adolescent,s,s
if feel at times like everyones lying,s,s
my boyfriend has always been the sweetest guy until recently,s,s
its causing depression stress and anxiety,s,s
im depressed because i want to lose weight,s,s
i have been seeing this guy for a little over a year,s,s
my daughter basically freaked out out of nowhere over me saying calm down when she dropped her phone,s,s
i thought the whole movie played out beautifully with fresh images and interesting cinematography the whole way through it,s,s
he is only one who can take me on base in order to get a new id so i can continue to see doctor,s,s
bernadette peters makes an interesting appearance as a saloon girl who attracts aarons attention,s,s
it makes me feel like crap because i cannot give her everything that she wants,s,s
i dont know how to tell someone how i feel about them,s,s
i cannt trust him anymore and im just wondering if i ever will,s,s
it wasnt supposed to be a gay thing but it sure sounds like it now that i talk about it,s,s
we do not live together,s,s
we had great chemistry but then he became distant,s,s
lucas denied this saying spielberg was protecting him,s,s
ive been having breakdowns for no reason at all,s,s
he masturbates daily even when i am lying in bed sleeping beside him,s,s
he has since had a rebound relationship,s,s
i feel like people can see all that i do and are reading my thoughts,s,s
i just want him to be around,s,s
i was adopted in by his dad who just passed and his mother will not get involved because shes afraid of financial responsibility,s,s
i serve no purpose,s,s
i started dating a guy i met online,s,s
he and my mother do not get along,s,s
i was duped into getting married to a therapist but once her immigration status was secure she bolted,s,s
he started to be unusually fatigued and losing weight,s,s
i dont think its right that he want me to reimburse him 2500 for a hotel room he wanted to get in the first place,s,s
athens where most of the film takes place is actually a great setting for a giallo,s,s
sony is the most reliable cd player known to man,s,s
i keep hearing i am attractive from people around me and i think i believe it,s,s
the next morning we talked about going to counseling,s,s
his words scared me a lot,s,s
he cheated on me numerous times,s,s
he got tired and left,s,s
but the two times we tried to have sex i couldnt get an erection,s,s
i am in my early 20s and i still live with my parents because i cant afford to live alone,s,s
my anxiety and depression have taken over my life,s,s
my sister and my husband had an affair,s,s
nothing weve tried has worked so far,s,s
she then started to act younger than she is,s,s
i am lonely,s,s
its bothering both of us,s,s
my child urinated in his mothers drink,s,s
the visitation is with supervision but she refuses to see him,s,s
yesterday she said she wanted a divorce then quickly changed her mind,s,s
ok i love bad horror,s,s
a friend of mine taking psychology advised i go to my doctor to check if i have major depressive disorder,s,s
i have no friends or family and a couple months ago she was confiding to some guy but says hes not any thing to her,s,s
i am upset,s,s
i do and it reflects in my childs behavior,s,s
i also was dealing with an abusive relationship mentally physically and emotionally,s,s
chamberlain is most remembered for his 100point gamepomerantz 2005 pp196 217 which is widely considered one of basketballs greatest records,s,s
i thought it was my fault for overloading it,s,s
im to sit home alone now and christmas too,s,s
i feel like im becoming less important to her and it hurts,s,s
last time we had sex she cried and felt bad and didnt know why she cried,s,s
i dont know if my exboyfriend is using opiates again,s,s
but im still going,s,s
i have cheated on my husband of five years roughly ten times,s,s
my boyfriend wants me to sign a contract of things not to do,s,s
im sick of feeling this way,s,s
i have no extended family support,s,s
i dont kiss or have unprotected sex with them,s,s
he told me he feels empty inside and the only emotions he feels are anger and sadness,s,s
there are costume and hair problems too,s,s
these were distinguished actors that could have made an amazing contribution,s,s
im on the verge of just giving up,s,s
its all i think about,s,s
he has four other children three of which are from his first wife,s,s
hes an opinionated rude pushy person,s,s
richard linklaters romantic drama is an offbeat telling of a dream come true for most people,s,s
it doesnt seem to heat any better than our oilfilled radiatortype heater either,s,s
i asked if the other guy was a factor but she says its not my business,s,s
i have tons of friends and family but i feel lonely,s,s
she wont eat or drink in public,s,s
they think its fake or all in my head,s,s
im just not happy with my marriage,s,s
soon after i experienced a miscarriage,s,s
soon the tourists will arrive,s,s
we must remember she was only 16,s,s
of all of these only the battle of yellow tavern can be considered a clear union victory,s,s
i have an old roommate who might be a psychopath,s,s
she and i are in our early 20s,s,s
i asked him if hed come to bed with me when he drinks he snores and i cannot sleepits a dead giveaway hes been drinking,s,s
ice loss from these outlet glaciers is possibly compensated by accumulation gains in other parts of antarctica,s,s
i just want a better life for my fiance and the kids than i did,s,s
i broke up with my boyfriend because he wasnt showing any affection at all,s,s
i honestly have no friends and i am always the one texting people and bothering people,s,s
there are intimate things she did early in the relationship and things she had once agreed to try that she will not do now,s,s
i love both of them but not their personalities,s,s
i told him all my concern is when i pick up my daughter,s,s
weve also had two beautiful baby girls during this time,s,s
she is very familyoriented while all of my family left me on my butt abused ignored and messed up with me mentally,s,s
shes always yelling at me for no reason,s,s
i have been with a guy for 4 years  hes a great guy and we also have a son together,s,s
people keep telling me i have anxiety and im terrified of having an anxiety attack on the road,s,s
eventually circumstances play their hand against the three aristocrats,s,s
then one scientist alone with the ultimate power in the universe comes up with his own theory and uses it,s,s
in this argument my friends are all against me so im wondering if im exaggerating my feelings,s,s
shortly thereafter he asked pang to book them for his sessions,s,s
in 1699 after the great turkish war slavonia was transferred to the habsburgs,s,s
im 17 and im sick and tired of going back and forth,s,s
he calls me names and makes me feel depressed,s,s
i break down easily and find myself depressed,s,s
i have absolutely nothing to do with my life but lay in bed on my phone or hangout with my one friend,s,s
i called to cancel at 430 the previous friday,s,s
in the past theyve had minor differences,s,s
he would not help pay for the room,s,s
i am in my late teens and i have been living with him for most of our relationship,s,s
he says i complain too much about what hes doing,s,s
according to her radio stations had requested a version without future for airplay,s,s
i think about it all over again when i see her,s,s
i feel like i love him but i dont think i know him,s,s
the effects of the storm prostrated electrical and communications lines as well as trees in the city,s,s
every glacier has a height above which there is net gain in mass and under which the glacier loses mass,s,s
he is seeing a counselor and wants another chance to make things right,s,s
now ive passed it on to my kids and they also enjoy it,s,s
hi mira all i can say is that i feel empty i feel nothing,s,s
i have been married for ten years,s,s
id like to stay at my mothers house,s,s
this policy caused discontent even among the members of samuels own council,s,s
i just think about what would happen if i died or if someone i loved died,s,s
the music video was filmed on july 2 2013,s,s
i get anxiety over having fights with him,s,s
i like bonnie winds by bohinta,s,s
weve been married 17 years,s,s
i know all marriages have problems but sometimes i feel its not going to work out if theres no trust,s,s
i feel very jealous,s,s
i think most of the time i lie even when sometimes it would have been easy just to tell the truth,s,s
i called the mfg,s,s
this is a sure fire aplus product and it gets an extra plus for the price,s,s
recently he has caught on but i lie to cover it,s,s
she calls me horrible names and she pushes my buttons to the point i call her names,s,s
i was such a happy person,s,s
i dont know how to deal with my boyfriends father,s,s
he is in therapy for depression and social anxiety,s,s
the exhibit areas are centered around a square central garden that contains a square sea lion pool in its center,s,s
garbo is nothing but arms in this movie she acts and acts flailing her arms about and gets grating quickly,s,s
joe piscopo is great as the appropriately named danny vermin what a shame directors didnt pick up on this,s,s
my partner and i have had an amazing relationship and connection for over two years,s,s
i am very self conscious about my body,s,s
im in my late 20s,s,s
my stepdad and i always mess around,s,s
i dont deny them a relationship with their dad but to be called crazy and then watch them hang out with him hurts me to the very core,s,s
now i am going back to my country for a vacation,s,s
by then the structure had developed leaks and displayed cracks along the foundation walls and ceiling,s,s
she refuses to see any reason,s,s
the two ai characters be assigned to perform different actions such as healing or attacking,s,s
i keep having these random thoughts that i dont want,s,s
i have already given in to bad temptations by hooking up with random strangers on social media sites and having oral sex with them,s,s
we also have 3 grandchildren,s,s
it tells the story of dream of the endless who rules over the world of dreams,s,s
i am living with her but it stresses me out so much to be around her that i have locked myself in my room,s,s
it just lacked the necessary character development,s,s
i often have nightmares starting with being eaten by a monster and i often wake up frightened and unable to breathe,s,s
luckily our situation only calls for seasonal use rather than all year long,s,s
somehow its still not good enough and nothing i do works,s,s
i love him very very much,s,s
now when i get mad i bite my arms and fingers pull my hair scratch my face or punch my thighs,s,s
i love her and i think im about to lose her if i already havent,s,s
i give intil it hurts and im afraid that im going to fail my babies,s,s
im attracted to my boss,s,s
both of these decisions are really hard to make because i feel like whether i stay or go my heart will still be torn apart,s,s
my exhusband told my two adolescents that santa doesnt exist on the day before christmas,s,s
he texted her back with dont text me anymore,s,s
i am unhappy and unsure of what i need to do,s,s
in october 2019 he left tadcaster to join gainsborough trinity as manager,s,s
sometimes i cant work because of depression,s,s
i have no time,s,s
when i was released she was 5 and didnt remember me,s,s
my husband and i are in our 40s,s,s
we rent from from my boyfriends parents,s,s
i dont know what to do,s,s
i feel like i cant do anything by myself because im scared of the outcomes,s,s
im worried about my new job,s,s
my parents say i should just let my daughter live with her dad but i dont see how i could fix things if i only see her every other weekend,s,s
after about the 10th time it began to get incredibly irritating and distractingly funny,s,s
i have thoughts of suicide or someone i care about is talking about suicide ,s,s
i havent been diagnosed with depression but i have been extremely sad for years,s,s
however it was not possible to complete the lists using only ethnic names,s,s
i feel that i am struggling with undiagnosed bipolar disorder and it is making my daytoday life extremely difficult,s,s
my mom and dad were still married when she passed away,s,s
i still feel like people can see me and are judging me,s,s
i have been dating a guy for two years,s,s
im in a relationship with my childs father,s,s
my wife doesnt want to have sex,s,s
she goes out gets trashed and then expects everyone to take care of her,s,s
weve been together two years and have identified this as our main problem,s,s
i am always tired i can sleep 8 hrs or 12 hrs and im still tired,s,s
we coexist together but there is very little personal interest in each other,s,s
im new to having anxiety and its making me depressed,s,s
he says this has happened in every past relationships and has ended it as a result,s,s
alexa i am afraid of sex,s,s
i was instantly terrified to say no and i gave in,s,s
the cast is amazing with every character played to perfection,s,s
they are spill proof but beware they can potentially spill from the sides if sealed incorrectly,s,s
i dont love my sister,s,s
he does not understand at all and is always making me feel so uncomfortable about sex,s,s
he appeared in the episodes here comes treble suit warehouse customer loyalty and moving on,s,s
i was in a car accident and totaled my car,s,s
i have four kids of my own and he accepts me with my kids,s,s
my girlfriend is in her late 30s,s,s
she sleeps constantly all day not at night,s,s
bradys ultimate target was not reich but psychoanalysis which according to turner she saw as akin to astrology,s,s
i have not had a friend since i was 19,s,s
i forgave him for what he did in the past and he says hes sorry and he really loves me,s,s
i never had any from my birth,s,s
i keep on begging him to come back,s,s
he never has anything to say about me until i tell him something about himself,s,s
he had been drinking and i told him not to come home that night,s,s
i am afraid of disappointing my partner by being inexperienced,s,s
instead of getting expelled she takes her anger elsewhere to the boxing ring,s,s
but we then ended up back together and worked it out for a while until i got pregnant with our second child,s,s
felinni would have filmed it had he the wicked wit,s,s
she and mr reynolds play one dimensional characters,s,s
of all the points on the production possibilities curve only one point represents an efficient point,s,s
she is a bright student always has a 40 but i am afraid she is stressing too much,s,s
they tweaked the lyrics so that it reflected keys role as host of the 61st annual grammy awards,s,s
there has always been a communication issue between my uncle and aunt and my cousin and his wife,s,s
i have an awful fear of people leaving me which normally ends up happening and i feel like im too clingy,s,s
i feel terrible but hes always picking his girlfriend over us,s,s
my exboyfriend had extreme meltdowns every day for three years,s,s
i like to tease i like for men to chase me and i like to feel wanted,s,s
its been nine months and this is making me worse,s,s
we argue and he ends it by telling me he doesnt love me,s,s
hes been losing feelings and he doesnt know why,s,s
my parents are in their sixties while i am a teenager,s,s
i get random spurts of anger like complete pure rage,s,s
my exboyfriend is trying to help but is making things worse because every time i see or hear him i break down into tears,s,s
i am also scared that he will be disappointed with my naked body,s,s
siri i cant stop thinking about him,s,s
i try to talk with him to make it better,s,s
so the doors are banged up and the floors have scuffs,s,s
hes just too big of a dog for where he is he should be a farm dog instead of a town dog,s,s
i neglected to ask how this was different than an episode,s,s
there have been previous problems and i feel like im usually the issue here,s,s
he subsequently becomes obsessed with moe and his betrayal even having a hallucination where he sees moes face everywhere,s,s
it seems like everyone my age has already had boyfriends by now or are not virgins anymore and i just had my first kiss five months ago,s,s
sometimes i enjoy movies like this,s,s
the problem is that i will feel guilty,s,s
pitt was nominated for the academy award for best supporting actor and won a golden globe award for his performance,s,s
im afraid its going to break her,s,s
the track reached the kingston union station in november 1872,s,s
im always blocking out the bad things and forgetting,s,s
i find myself crying over every little thing like dropping a glass of water,s,s
every time i send a message to someone or a group message on instagram imessage or snapchat people will read my messages but then they wont answer me,s,s
we havent been getting along since i was a teenager,s,s
i stress over everything,s,s
i know im ruining my life with a lot of the decisions i make,s,s
he should be with somebody who deserves him if this is the case and i dont want to hurt him,s,s
its got everything in it,s,s
my companion tells me he wants nothing to do with me,s,s
i got pregnant after being together for a month,s,s
i want to have sexual experiences with adults male or female,s,s
i was thinking i would be reading about tricks of the trade from a master,s,s
her anxiety in public places is the worst,s,s
i am married but i had sex with my friend,s,s
my country is known for that,s,s
mine shows a moisture looking appearance from where the plastic touches the screen,s,s
eight policemen on duty that night were given the metropolitan police commissioners high commendation,s,s
he holds the poop in until he get up and then will poop in his diaper,s,s
i dont like the thought of living forever and ever and ever,s,s
my husband and i wouldve been married for five years come june 2016,s,s
i last selfharmed a week ago,s,s
he helped me with the move and replaced the money i had lent him,s,s
often times i feel overwhelmed tired and joyless,s,s
weve been totally spoiled now,s,s
my daughterinlaw is smoking marijuana while pregnant,s,s
were not together but im still doing things for him and we are intimate,s,s
we didnt even realize how messed up it was at the time,s,s
i found myself defending my son,s,s
it wont go away,s,s
he tells me its not like that,s,s
ive had several attempts at relationships and they all fail,s,s
its hard for me to let go because i love him but i am getting tired,s,s
within the past 2 years we have drifted far apart,s,s
brooks spent part of each year in italy or traveling elsewhere in europe away from barneyrodriguez 227 295,s,s
after six months we moved across the country only to live the same thing and thats when the violence started,s,s
my boyfriend and i have been together for five years now,s,s
i got into a relationship with this guy,s,s
i wish though that my boyfriend was next to me and be able to see his daughter on a sonogram at the very least,s,s
the idea excites me to no end but i donnt want to because it disgusts me,s,s
i wouldnt recommend this as i saw no positive benefits to using it,s,s
ive been bullied for years and the teachers have done nothing about it,s,s
i enjoy it very much,s,s
i love him and i know he loves me but its complicated,s,s
they supplied a score that is full of charm and characterization,s,s
that seems about the right time   ,s,s
for example she gets offended when i call someone at work sweetheart,s,s
now any little disagreement is magnified leading to major disagreements,s,s
a few nights ago i talked to this girl i know about my self esteem issues for the first time,s,s
the unit claimed 200 soviet tanks and 150 soviet aircraft destroyed for 41 losses,s,s
someone also told me they still use electroshock therapy,s,s
inve been struggling for years with this,s,s
we were friends for a few years before we got into a relationship,s,s
the per capita income for the city was 18395,s,s
i keep thinking about how we had something but it got cut off due to parental intervention,s,s
i have told someone this and that is why i am writing this,s,s
ive been with my partner for 4 years,s,s
he makes me feel like im nothing but i so dearly love him with everything in me,s,s
my girlfriend screams at me all the time and sometime i dont know how to deal with life,s,s
its been two months now but i seem to be unable to stay okay and independent,s,s
we work together so he went to work and told everyone i was cheating on him,s,s
there is no narrator no facts or side info interlaced and no other gimmicks,s,s
i have trouble sleeping and i keep having sleep paralysis while dreaming of others mocking and judging me,s,s
years later it has started again,s,s
the middle child is three and the youngest is one,s,s
more than 400 aircraft of all types were crammed into the dispersal areas around the gibraltar runway,s,s
while primary effects of invasive animals are bioturbation bioerosion and bioconstruction,s,s
i dont know if im straight bisexual or gay,s,s
i am now back with my mother because i have nowhere to go with this divorce looming,s,s
i just want to know where to go with this because i love him so much and i want to get back to us being happy and a family,s,s
every time she leaves he gets into these funks like when his mom died,s,s
i think im ugly and sometimes i just want to die,s,s
when i tell her she explodes,s,s
at the same time the muslim terrorists who cause the outbreak are the usual psychopathic stereotype,s,s
it makes me feel guilty and at times depressed to the point where id rather never wake up anymore,s,s
i lost my mom and i feel like im depressed,s,s
obviously that wasnt the right choice,s,s
ive been binge watching television and binge eating,s,s
i have a son and i got really big when i was pregnant,s,s
this anxiety causes me depression at times and even makes me want to vomit,s,s
theres this girl ive been dating for months,s,s
my husband yells “enough” when i tell him he needs to change,s,s
we have gotten pretty serious,s,s
i feel like i still need his validation,s,s
i am in recovery myself,s,s
i turned it offlast night an extremely rare cobbled together print screened at the la cinematheque,s,s
i am devastated and cannot find a cause for these issues,s,s
im tired of being called names,s,s
we love each other but were in a rough patch,s,s
chances are this movie would be collecting dust in your collection,s,s
he had once promised he would never touch me so i challenged him to do it,s,s
it causes me depression and brings me down,s,s
before i got paid i told him i would have 2500 which i thought i would,s,s
she is in her 50s and i am in my 40s,s,s
shes given me no reason not to trust her,s,s
this has been going on for two years,s,s
nothing seemed to work,s,s
i live with my mother currently while i get on my feet and hes living with some friends,s,s
the exwife says her therapist says the opposite,s,s
were in an eight year relationship,s,s
ive given her a name solace and created a personality for her thats like a comforting motherly figure,s,s
im having relationship problems and i want to fix them to make things right before i lose her,s,s
we get into all out war,s,s
he meets a beautiful girl named jill sally eilers and the two start up an act involving flying and stunts,s,s
in the passage outside the american room is a portrait of the philosopher jeanjacques rousseau by allan ramsay,s,s
i was especially grateful to find a lot of practical ideas toward best practices in it environments,s,s
its been 3 years,s,s
i have anger issues that have worsened over the years because ive never dealt with my emotions,s,s
i didnt load it with rocks and go mountain rucking,s,s
i feel like i failed myself,s,s
i broke up with him three weeks ago because i felt that he needed to be more respectful,s,s
i try to fill it in with objects or in this case a woman,s,s
william l shirer writes this in a first person perspective,s,s
early life lee smith was reared in the small town of castor in bienville parish,s,s
im a man and im soon to be married,s,s
it has been difficult to find a doctor in my area and my primary physician wont help,s,s
the other night i counted the beers in the fridge just to see if some were missing,s,s
im trying to learn to cope with them,s,s
im so terrified of being judged or dismissed,s,s
he talks badly about me to his friends,s,s
we will talk everyday and he will get mad over something i will say and not talk to me,s,s
alexa i love and miss my ex so much,s,s
one day my parents found out i did this stuff with him because my dad read my messages,s,s
he doesnt even care,s,s
im always alone with no friends,s,s
i believe its because im not as social as him,s,s
im very unsettled in my soul,s,s
while they were dating for the past two years her son spent the weekends with me and my mother,s,s
this movie really serves to highlighted the fact that bad editing can take many forms,s,s
i feel i have used only 5 of my potential,s,s
i didnt realize you were still interested in dating,s,s
he helped me a great deal,s,s
my own therapist believes the girls should be told,s,s
she cant help but tear out the throat of every man she meets and she only wants to be loved,s,s
i want this feeling to stop because it is interfering with my time to study since most of the time i am busy thinking about sex,s,s
i just want to be happy again and i feel like im starting to fake a smile at school,s,s
ill forgive the cheating if shell come home,s,s
they have your typical movie personalities,s,s
ive had anxiety attacks and suicidal thoughts and selfharm in the past,s,s
hes such a good person,s,s
a few days after thanksgiving she told me that we would have to go back to her original plans of seeing each other much less frequently,s,s
im tired of crying but we have a toddler together,s,s
i dont know what to do to fix the relationship,s,s
it may work i dont know but the marketing is deceptive and for a copy its actually overpriced,s,s
i really do want to change that but ive tried 3 times,s,s
i dont know why i feel this way but i hate it,s,s
i find myself being very outgoing most of the time but there are some times when i dont know what to say,s,s
i have a lot on my mind but all i want to do is stay locked in my room and not socialize with anyone,s,s
i find it easy to make myself feel nothing,s,s
we didnt talk to anyone else because we only wanted to talk to each other,s,s
i feel if i hadnt left he might still be alive,s,s
i never knew my father,s,s
they tend to break sometimes before they should,s,s
it also foreshadows the design of stanes armor,s,s
they thought i was crazy but they decided to humour me,s,s
she has chronic inflammatory demyelinating polyneuropathy and im her caregiver,s,s
i dont have anyone to talk to,s,s
he came out to see if i was okay and i said no,s,s
and there are many,s,s
i believe i have separation anxiety,s,s
his coworker sent him an inappropriate video,s,s
his words do not match his actions,s,s
i also feel like nobody cares for me and they never will,s,s
he and i split three months ago but i have been seeing him pretty regularly despite the fact that he is living back with his exgirlfriend and kids,s,s
we both work at the same job where we met and itns with the girl that works with us,s,s
its elements would return to their designations before world war ii,s,s
subbu also starred in the film alongside pushpavalli and m s sundari bai,s,s
im wondering if i am better off just getting selfhelp and working things out on my own,s,s
as i laid down on the bed he started touching me,s,s
i am in my 30s with 2 kids and no job and im behind on the bills,s,s
i really want to work up the courage to lose my fear,s,s
he is coexisting for the kids and fighting all the time with his exgirlfriend,s,s
i dont know whats with me,s,s
often times i find myself thinking scary thoughts and sometimes  i even scare myself into thinking that something bad is going to happen to me,s,s
before he worked and slept and on off days hed stay home because he didnt want to do anything else,s,s
im older and just experienced heartbreak,s,s
im unable to reach my husband at this time,s,s
